Scientific (AviList),English (AviList)
Galerida theklae huriensis,
Galerida malabarica,Malabar Lark
Galerida cristata,Crested Lark
Galerida cristata pallida,
Galerida cristata cristata,
Galerida cristata neumanni,
Galerida cristata apuliae,
Galerida cristata meridionalis,
Galerida cristata cypriaca,
Galerida cristata tenuirostris,
Galerida cristata caucasica,
Galerida cristata kleinschmidti,
Galerida cristata riggenbachi,
Galerida cristata randonii,
Galerida cristata macrorhyncha,
Galerida cristata carthaginis,
Galerida cristata arenicola,
Galerida cristata festae,
Galerida cristata brachyura,
Galerida cristata helenae,
Galerida cristata jordansi,
Galerida cristata nigricans,
Galerida cristata maculata,
Galerida cristata halfae,
Galerida cristata altirostris,
Galerida cristata somaliensis,
Galerida cristata balsaci,
Galerida cristata senegallensis,
Galerida cristata alexanderi,
Galerida cristata isabellina,
Galerida cristata cinnamomina,
Galerida cristata zion,
Galerida cristata subtaurica,
Galerida cristata magna,
Galerida cristata leautungensis,
Galerida cristata coreensis,
Galerida cristata lynesi,
Galerida cristata chendoola,
Eremophila,
Eremophila bilopha,Temminck's Lark
Eremophila alpestris,Horned Lark
Eremophila alpestris arcticola,
Eremophila alpestris hoyti,
Eremophila alpestris alpestris,
Eremophila alpestris merrilli,
Eremophila alpestris strigata,
Eremophila alpestris alpina,
Eremophila alpestris lamprochroma,
Eremophila alpestris leucolaema,
Eremophila alpestris enthymia,
Eremophila alpestris praticola,
Eremophila alpestris sierrae,
Eremophila alpestris rubea,
Eremophila alpestris utahensis,
Eremophila alpestris insularis,
Eremophila alpestris actia,
Eremophila alpestris ammophila,
Eremophila alpestris leucansiptila,
Eremophila alpestris occidentalis,
Eremophila alpestris adusta,
Eremophila alpestris enertera,
Eremophila alpestris giraudi,
Eremophila alpestris aphrasta,
Eremophila alpestris lactea,
Eremophila alpestris diaphora,
Eremophila alpestris chrysolaema,
Eremophila alpestris oaxacae,
Eremophila alpestris peregrina,
Eremophila alpestris flava,
Eremophila alpestris brandti,
Eremophila alpestris atlas,
Eremophila alpestris balcanica,
Eremophila alpestris kumerloevei,
Eremophila alpestris penicillata,
Eremophila alpestris bicornis,
Eremophila alpestris albigula,
Eremophila alpestris argalea,
Eremophila alpestris teleschowi,
Eremophila alpestris przewalskii,
Eremophila alpestris nigrifrons,
Eremophila alpestris longirostris,
Eremophila alpestris elwesi,
Eremophila alpestris khamensis,
Calandrella,
Calandrella blanfordi,Blanford's Lark
Calandrella blanfordi blanfordi,
Calandrella blanfordi erlangeri,
Calandrella eremica,Rufous-capped Lark
Calandrella eremica eremica,
Calandrella eremica daaroodensis,
Calandrella brachydactyla,Greater Short-toed Lark
Calandrella brachydactyla brachydactyla,
Calandrella brachydactyla hungarica,
Calandrella brachydactyla rubiginosa,
Calandrella brachydactyla hermonensis,
Calandrella brachydactyla woltersi,
Calandrella brachydactyla artemisiana,
Calandrella brachydactyla longipennis,
Calandrella brachydactyla orientalis,
Calandrella cinerea,Red-capped Lark
Calandrella cinerea rufipecta,
Calandrella cinerea williamsi,
Calandrella cinerea saturatior,
Calandrella cinerea spleniata,
Calandrella cinerea cinerea,
Calandrella dukhunensis,Mongolian Short-toed Lark
Calandrella acutirostris,Hume's Short-toed Lark
Calandrella acutirostris acutirostris,
Calandrella acutirostris tibetana,
Melanocorypha,
Melanocorypha bimaculata,Bimaculated Lark
Melanocorypha mongolica,Mongolian Lark
Melanocorypha maxima,Tibetan Lark
Melanocorypha yeltoniensis,Black Lark
Melanocorypha calandra,Calandra Lark
Melanocorypha calandra calandra,
Melanocorypha calandra psammochroa,
Melanocorypha calandra gaza,
Melanocorypha calandra hebraica,
Chersophilus,
Chersophilus duponti,Dupont's Lark
Chersophilus duponti duponti,
Chersophilus duponti margaritae,
Eremalauda,
Eremalauda dunni,Dunn's Lark
Eremalauda eremodites,Arabian Lark
Alaudala,
Alaudala somalica,Somali Short-toed Lark
Alaudala somalica perconfusa,
Alaudala somalica somalica,
Alaudala somalica megaensis,
Alaudala somalica athensis,
Alaudala cheleensis,Asian Short-toed Lark
Alaudala cheleensis leucophaea,
Alaudala cheleensis seebohmi,
Alaudala cheleensis tuvinica,
Alaudala cheleensis cheleensis,
Alaudala rufescens,Mediterranean Short-toed Lark
Alaudala rufescens rufescens,
Alaudala rufescens apetzii,
Alaudala rufescens minor,
Alaudala raytal,Sand Lark
Alaudala raytal raytal,
Alaudala raytal adamsi,
Alaudala heinei,Turkestan Short-toed Lark
Alaudala heinei heinei,
Alaudala heinei aharonii,
Alaudala heinei persica,
Nicatoridae,
Nicator,
Nicator chloris,Western Nicator
Nicator gularis,Eastern Nicator
Nicator vireo,Yellow-throated Nicator
Macrosphenidae,
Macrosphenus,
Macrosphenus kempi,Kemp's Longbill
Macrosphenus kempi kempi,
Macrosphenus kempi flammeus,
Macrosphenus flavicans,Yellow Longbill
Macrosphenus flavicans flavicans,
Macrosphenus flavicans hypochondriacus,
Macrosphenus concolor,Grey Longbill
Macrosphenus pulitzeri,Pulitzer's Longbill
Macrosphenus kretschmeri,Kretschmer's Longbill
Macrosphenus kretschmeri kretschmeri,
Macrosphenus kretschmeri griseiceps,
Achaetops,
Achaetops pycnopygius,Rockrunner
Achaetops pycnopygius pycnopygius,
Achaetops pycnopygius spadix,
Sphenoeacus,
Sphenoeacus afer,Cape Grassbird
Sphenoeacus afer excisus,
Sphenoeacus afer natalensis,
Sphenoeacus afer intermedius,
Sphenoeacus afer afer,
Melocichla,
Melocichla mentalis,Moustached Grass Warbler
Melocichla mentalis mentalis,
Melocichla mentalis amauroura,
Melocichla mentalis orientalis,
Melocichla mentalis luangwae,
Cryptillas,
Cryptillas victorini,Victorin's Warbler
Sylvietta,
Sylvietta virens,Green Crombec
Sylvietta virens flaviventris,
Sylvietta virens virens,
Sylvietta virens baraka,
Sylvietta virens tando,
Sylvietta denti,Lemon-bellied Crombec
Sylvietta denti hardyi,
Sylvietta denti denti,
Sylvietta leucophrys,White-browed Crombec
Sylvietta leucophrys leucophrys,
Sylvietta leucophrys chloronota,
Sylvietta leucophrys chapini,
Sylvietta brachyura,Northern Crombec
Sylvietta brachyura brachyura,
Sylvietta brachyura carnapi,
Sylvietta brachyura leucopsis,
Sylvietta philippae,Philippa's Crombec
Sylvietta ruficapilla,Red-capped Crombec
Sylvietta ruficapilla schoutedeni,
Sylvietta ruficapilla rufigenis,
Sylvietta ruficapilla chubbi,
Sylvietta ruficapilla makayii,
Sylvietta ruficapilla ruficapilla,
Sylvietta ruficapilla gephyra,
Sylvietta whytii,Red-faced Crombec
Sylvietta whytii loringi,
Sylvietta whytii jacksoni,
Sylvietta whytii minima,
Sylvietta whytii whytii,
Sylvietta isabellina,Somali Crombec
Sylvietta rufescens,Long-billed Crombec
Sylvietta rufescens adelphe,
Sylvietta rufescens flecki,
Sylvietta rufescens ansorgei,
Sylvietta rufescens pallida,
Sylvietta rufescens resurga,
Sylvietta rufescens rufescens,
Sylvietta rufescens diverga,
Cisticolidae,
Neomixis,
Neomixis tenella,Common Jery
Neomixis tenella tenella,
Neomixis tenella decaryi,
Neomixis tenella orientalis,
Neomixis tenella debilis,
Neomixis viridis,Green Jery
Neomixis viridis delacouri,
Neomixis viridis viridis,
Neomixis striatigula,Stripe-throated Jery
Neomixis striatigula sclateri,
Neomixis striatigula striatigula,
Neomixis striatigula pallidior,
Micromacronus,
Micromacronus leytensis,Visayan Miniature Babbler
Micromacronus sordidus,Mindanao Miniature Babbler
Eremomela,
Eremomela flavicrissalis,Yellow-vented Eremomela
Eremomela icteropygialis,Yellow-bellied Eremomela
Eremomela icteropygialis alexanderi,
Eremomela icteropygialis griseoflava,
Eremomela icteropygialis abdominalis,
Eremomela icteropygialis polioxantha,
Eremomela icteropygialis helenorae,
Eremomela icteropygialis puellula,
Eremomela icteropygialis sharpei,
Eremomela icteropygialis viriditincta,
Eremomela icteropygialis icteropygialis,
Eremomela icteropygialis saturatior,
Eremomela icteropygialis salvadorii,
Eremomela pusilla,Senegal Eremomela
Eremomela canescens,Green-backed Eremomela
Eremomela canescens elegans,
Eremomela canescens abyssinica,
Eremomela canescens canescens,
Eremomela scotops,Green-capped Eremomela
Eremomela scotops kikuyuensis,
Eremomela scotops citriniceps,
Eremomela scotops congensis,
Eremomela scotops pulchra,
Eremomela scotops scotops,
Eremomela gregalis,Karoo Eremomela
Eremomela gregalis gregalis,
Eremomela gregalis albigularis,
Eremomela badiceps,Rufous-crowned Eremomela
Eremomela badiceps fantiensis,
Eremomela badiceps latukae,
Eremomela badiceps badiceps,
Eremomela turneri,Turner's Eremomela
Eremomela turneri kalindei,
Eremomela turneri turneri,
Eremomela atricollis,Black-necked Eremomela
Eremomela usticollis,Burnt-necked Eremomela
Eremomela usticollis rensi,
Eremomela usticollis usticollis,
Drymocichla,
Drymocichla incana,Red-winged Grey Warbler
Schistolais,
Schistolais leontica,Sierra Leone Prinia
Schistolais leucopogon,White-chinned Prinia
Schistolais leucopogon leucopogon,
Schistolais leucopogon reichenowi,
Oreophilais,
Oreophilais robertsi,Roberts's Warbler
Phragmacia,
Phragmacia substriata,Namaqua Warbler
Phragmacia substriata confinis,
Phragmacia substriata substriata,
Urolais,
Urolais epichlorus,Green Longtail
Urolais epichlorus epichlorus,
Urolais epichlorus cinderella,
Urolais epichlorus mariae,
Oreolais,
Oreolais ruwenzorii,Rwenzori Apalis
Oreolais pulcher,Black-collared Apalis
Oreolais pulcher pulcher,
Oreolais pulcher murphyi,
Artisornis,
Artisornis metopias,Red-capped Forest Warbler
Artisornis metopias metopias,
Artisornis metopias altus,
Artisornis moreaui,Long-billed Forest Warbler
Artisornis moreaui moreaui,
Artisornis moreaui sousae,
Poliolais,
Poliolais lopezi,White-tailed Warbler
Poliolais lopezi alexanderi,
Poliolais lopezi lopezi,
Poliolais lopezi manengubae,
Calamonastes,
Calamonastes undosus,Miombo Wren-Warbler
Calamonastes undosus cinereus,
Calamonastes undosus huilae,
Calamonastes undosus katangae,
Calamonastes undosus undosus,
Calamonastes stierlingi,Stierling's Wren-Warbler
Calamonastes stierlingi stierlingi,
Calamonastes stierlingi irwini,
Calamonastes stierlingi olivascens,
Calamonastes stierlingi pintoi,
Calamonastes simplex,Grey Wren-Warbler
Calamonastes fasciolatus,Barred Wren-Warbler
Calamonastes fasciolatus pallidior,
Calamonastes fasciolatus fasciolatus,
Calamonastes fasciolatus europhilus,
Camaroptera,
Camaroptera brachyura,Bleating Camaroptera
Camaroptera brachyura pileata,
Camaroptera brachyura fugglescouchmani,
Camaroptera brachyura bororensis,
Camaroptera brachyura constans,
Camaroptera brachyura brachyura,
Camaroptera brachyura brevicaudata,
Camaroptera brachyura tincta,
Camaroptera brachyura abessinica,
Camaroptera brachyura insulata,
Camaroptera brachyura aschani,
Camaroptera brachyura erlangeri,
Camaroptera brachyura griseigula,
Camaroptera brachyura intercalata,
Camaroptera brachyura sharpei,
Camaroptera brachyura transitiva,
Camaroptera brachyura beirensis,
Camaroptera harterti,Hartert's Camaroptera
Camaroptera superciliaris,Yellow-browed Camaroptera
Camaroptera chloronota,Olive-green Camaroptera
Camaroptera chloronota kelsalli,
Camaroptera chloronota chloronota,
Camaroptera chloronota granti,
Camaroptera chloronota kamitugaensis,
Camaroptera chloronota toroensis,
Spiloptila,
Spiloptila clamans,Cricket Warbler
Phyllolais,
Phyllolais pulchella,Buff-bellied Warbler
Apalis,
Apalis thoracica,Bar-throated Apalis
Apalis thoracica griseiceps,
Apalis thoracica pareensis,
Apalis thoracica murina,
Apalis thoracica uluguru,
Apalis thoracica youngi,
Apalis thoracica whitei,
Apalis thoracica rhodesiae,
Apalis thoracica quarta,
Apalis thoracica arnoldi,
Apalis thoracica flaviventris,
Apalis thoracica spelonkensis,
Apalis thoracica drakensbergensis,
Apalis thoracica lebomboensis,
Apalis thoracica venusta,
Apalis thoracica thoracica,
Apalis thoracica claudei,
Apalis thoracica capensis,
Apalis thoracica griseopyga,
Apalis fuscigularis,Taita Apalis
Apalis flavigularis,Yellow-throated Apalis
Apalis lynesi,Namuli Apalis
Apalis nigriceps,Black-capped Apalis
Apalis nigriceps nigriceps,
Apalis nigriceps collaris,
Apalis jacksoni,Black-throated Apalis
Apalis jacksoni bambuluensis,
Apalis jacksoni minor,
Apalis jacksoni jacksoni,
Apalis chariessa,White-winged Apalis
Apalis chariessa chariessa,
Apalis chariessa macphersoni,
Apalis binotata,Lowland Masked Apalis
Apalis personata,Mountain Masked Apalis
Apalis personata personata,
Apalis personata marungensis,
Apalis flavida,Yellow-breasted Apalis
Apalis flavida viridiceps,
Apalis flavida flavocincta,
Apalis flavida caniceps,
Apalis flavida abyssinica,
Apalis flavida pugnax,
Apalis flavida golzi,
Apalis flavida neglecta,
Apalis flavida flavida,
Apalis flavida florisuga,
Apalis ruddi,Rudd's Apalis
Apalis ruddi ruddi,
Apalis ruddi caniviridis,
Apalis ruddi fumosa,
Apalis sharpii,Sharpe's Apalis
Apalis rufogularis,Buff-throated Apalis
Apalis rufogularis rufogularis,
Apalis rufogularis sanderi,
Apalis rufogularis nigrescens,
Apalis rufogularis angolensis,
Apalis rufogularis brauni,
Apalis rufogularis kigezi,
Apalis argentea,Kungwe Apalis
Apalis bamendae,Bamenda Apalis
Apalis goslingi,Gosling's Apalis
Apalis kaboboensis,Kabobo Apalis
Apalis porphyrolaema,Chestnut-throated Apalis
Apalis chapini,Chapin's Apalis
Apalis chapini chapini,
Apalis chapini strausae,
Apalis melanocephala,Black-headed Apalis
Apalis melanocephala nigrodorsalis,
Apalis melanocephala moschi,
Apalis melanocephala muhuluensis,
Apalis melanocephala melanocephala,
Apalis melanocephala lightoni,
Apalis melanocephala fuliginosa,
Apalis melanocephala tenebricosa,
Apalis melanocephala adjacens,
Apalis melanocephala addenda,
Apalis chirindensis,Chirinda Apalis
Apalis chirindensis vumbae,
Apalis chirindensis chirindensis,
Apalis cinerea,Grey Apalis
Apalis cinerea cinerea,
Apalis cinerea sclateri,
Apalis cinerea grandis,
Apalis alticola,Brown-headed Apalis
Apalis alticola dowsetti,
Apalis alticola alticola,
Apalis karamojae,Karamoja Apalis
Apalis stronachi,Maasai Apalis
Orthotomus,
Orthotomus sutorius,Common Tailorbird
Orthotomus sutorius guzuratus,
Orthotomus sutorius patia,
Orthotomus sutorius luteus,
Orthotomus sutorius inexpectatus,
Orthotomus sutorius longicauda,
Orthotomus sutorius maculicollis,
Orthotomus sutorius edela,
Orthotomus sutorius fernandonis,
Orthotomus sutorius sutorius,
Orthotomus frontalis,Rufous-fronted Tailorbird
Orthotomus frontalis frontalis,
Orthotomus frontalis mearnsi,
Orthotomus atrogularis,Dark-necked Tailorbird
Orthotomus atrogularis nitidus,
Orthotomus atrogularis atrogularis,
Orthotomus atrogularis major,
Orthotomus atrogularis humphreysi,
Orthotomus chaktomuk,Cambodian Tailorbird
Orthotomus ruficeps,Ashy Tailorbird
Orthotomus ruficeps cineraceus,
Orthotomus ruficeps germaini,
Orthotomus ruficeps baeus,
Orthotomus ruficeps concinnus,
Orthotomus ruficeps ruficeps,
Orthotomus ruficeps palliolatus,
Orthotomus ruficeps baweanus,
Orthotomus ruficeps borneoensis,
Orthotomus ruficeps cagayanensis,
Orthotomus sepium,Olive-backed Tailorbird
Orthotomus sepium sundaicus,
Orthotomus sepium sepium,
Orthotomus sericeus,Rufous-tailed Tailorbird
Orthotomus sericeus hesperius,
Orthotomus sericeus sericeus,
Orthotomus sericeus rubicundulus,
Orthotomus castaneiceps,Visayan Tailorbird
Orthotomus castaneiceps castaneiceps,
Orthotomus castaneiceps rabori,
Orthotomus derbianus,Grey-backed Tailorbird
Orthotomus derbianus derbianus,
Orthotomus derbianus nilesi,
Orthotomus chloronotus,Green-backed Tailorbird
Orthotomus samarensis,Yellow-breasted Tailorbird
Orthotomus nigriceps,Black-headed Tailorbird
Orthotomus nigriceps nigriceps,
Orthotomus nigriceps luminosus,
Orthotomus cinereiceps,White-eared Tailorbird
Orthotomus cinereiceps obscurior,
Orthotomus cinereiceps cinereiceps,
Prinia,
Prinia crinigera,Himalayan Prinia
Prinia crinigera striatula,
Prinia crinigera crinigera,
Prinia crinigera yunnanensis,
Prinia crinigera bangsi,
Prinia striata,Striped Prinia
Prinia striata catharia,
Prinia striata parumstriata,
Prinia striata striata,
Prinia cooki,Burmese Prinia
Prinia rocki,Annam Prinia
Prinia polychroa,Brown Prinia
Prinia polychroa polychroa,
Prinia polychroa deignani,
Prinia atrogularis,Black-throated Prinia
Prinia khasiana,Rufous-crowned Prinia
Prinia superciliaris,Hill Prinia
Prinia superciliaris erythropleura,
Prinia superciliaris superciliaris,
Prinia superciliaris klossi,
Prinia superciliaris waterstradti,
Prinia superciliaris dysancrita,
Prinia cinereocapilla,Grey-crowned Prinia
Prinia buchanani,Rufous-fronted Prinia
Prinia rufescens,Rufescent Prinia
Prinia rufescens rufescens,
Prinia rufescens beavani,
Prinia rufescens dalatensis,
Prinia rufescens objurgans,
Prinia rufescens peninsularis,
Prinia rufescens extrema,
Prinia hodgsonii,Grey-breasted Prinia
Prinia hodgsonii rufula,
Prinia hodgsonii confusa,
Prinia hodgsonii hodgsonii,
Prinia hodgsonii erro,
Prinia hodgsonii albogularis,
Prinia hodgsonii pectoralis,
Prinia familiaris,Bar-winged Prinia
Prinia gracilis,Graceful Prinia
Prinia gracilis natronensis,
Prinia gracilis deltae,
Prinia gracilis gracilis,
Prinia gracilis ashi,
Prinia gracilis yemenensis,
Prinia gracilis hufufae,
Prinia gracilis palaestinae,
Prinia lepida,Delicate Prinia
Prinia lepida akyildizi,
Prinia lepida carpenteri,
Prinia lepida lepida,
Prinia lepida stevensi,
Prinia sylvatica,Jungle Prinia
Prinia sylvatica insignis,
Prinia sylvatica gangetica,
Prinia sylvatica mahendrae,
Prinia sylvatica sylvatica,
Prinia sylvatica valida,
Prinia flaviventris,Yellow-bellied Prinia
Prinia flaviventris sindiana,
Prinia flaviventris flaviventris,
Prinia flaviventris sonitans,
Prinia flaviventris delacouri,
Prinia flaviventris rafflesi,
Prinia flaviventris halistona,
Prinia flaviventris latrunculus,
Prinia socialis,Ashy Prinia
Prinia socialis stewarti,
Prinia socialis inglisi,
Prinia socialis socialis,
Prinia socialis brevicauda,
Prinia subflava,Tawny-flanked Prinia
Prinia subflava subflava,
Prinia subflava pallescens,
Prinia subflava tenella,
Prinia subflava melanorhyncha,
Prinia subflava graueri,
Prinia subflava affinis,
Prinia subflava kasokae,
Prinia subflava mutatrix,
Prinia subflava bechuanae,
Prinia subflava pondoensis,
Prinia inornata,Plain Prinia
Prinia inornata terricolor,
Prinia inornata fusca,
Prinia inornata blanfordi,
Prinia inornata extensicauda,
Prinia inornata herberti,
Prinia inornata flavirostris,
Prinia inornata inornata,
Prinia inornata franklinii,
Prinia inornata insularis,
Prinia inornata blythi,
Prinia somalica,Pale Prinia
Prinia somalica somalica,
Prinia somalica erlangeri,
Prinia fluviatilis,River Prinia
Prinia flavicans,Black-chested Prinia
Prinia flavicans bihe,
Prinia flavicans ansorgei,
Prinia flavicans flavicans,
Prinia flavicans nubilosa,
Prinia maculosa,Karoo Prinia
Prinia maculosa psammophila,
Prinia maculosa maculosa,
Prinia maculosa exultans,
Prinia hypoxantha,Drakensberg Prinia
Prinia molleri,Sao Tome Prinia
Prinia bairdii,Banded Prinia
Prinia bairdii bairdii,
Prinia bairdii heinrichi,
Prinia bairdii obscura,
Prinia bairdii melanops,
Prinia erythroptera,Red-winged Prinia
Prinia erythroptera erythroptera,
Prinia erythroptera jodoptera,
Prinia erythroptera major,
Prinia erythroptera rhodoptera,
Prinia rufifrons,Red-fronted Prinia
Prinia rufifrons rufifrons,
Prinia rufifrons smithi,
Prinia rufifrons rufidorsalis,
Euryptila,
Euryptila subcinnamomea,Cinnamon-breasted Warbler
Scepomycter,
Scepomycter winifredae,Winifred's Warbler
Scepomycter winifredae rubehoensis,
Scepomycter winifredae winifredae,
Incana,
Incana incana,Socotra Warbler
Malcorus,
Malcorus pectoralis,Rufous-eared Warbler
Malcorus pectoralis etoshae,
Malcorus pectoralis ocularius,
Malcorus pectoralis pectoralis,
Hypergerus,
Hypergerus atriceps,Oriole Warbler
Eminia,
Eminia lepida,Grey-capped Warbler
Bathmocercus,
Bathmocercus cerviniventris,Black-headed Rufous Warbler
Bathmocercus rufus,Black-faced Rufous Warbler
Bathmocercus rufus rufus,
Bathmocercus rufus vulpinus,
Cisticola,
Cisticola erythrops,Red-faced Cisticola
Cisticola erythrops erythrops,
Cisticola erythrops pyrrhomitra,
Cisticola erythrops niloticus,
Cisticola erythrops sylvia,
Cisticola erythrops nyasa,
Cisticola erythrops lepe,
Cisticola cantans,Singing Cisticola
Cisticola cantans swanzii,
Cisticola cantans concolor,
Cisticola cantans adamauae,
Cisticola cantans cantans,
Cisticola cantans belli,
Cisticola cantans pictipennis,
Cisticola cantans muenzneri,
Cisticola lateralis,Whistling Cisticola
Cisticola lateralis lateralis,
Cisticola lateralis antinorii,
Cisticola lateralis modestus,
Cisticola anonymus,Chattering Cisticola
Cisticola woosnami,Trilling Cisticola
Cisticola woosnami woosnami,
Cisticola woosnami lufira,
Cisticola bulliens,Bubbling Cisticola
Cisticola bulliens septentrionalis,
Cisticola bulliens bulliens,
Cisticola chubbi,Chubb's Cisticola
Cisticola chubbi adametzi,
Cisticola chubbi discolor,
Cisticola chubbi chubbi,
Cisticola chubbi marungensis,
Cisticola hunteri,Hunter's Cisticola
Cisticola nigriloris,Black-lored Cisticola
Cisticola bakerorum,Kilombero Cisticola
Cisticola aberrans,Rock-loving Cisticola
Cisticola aberrans nyika,
Cisticola aberrans lurio,
Cisticola aberrans aberrans,
Cisticola aberrans minor,
Cisticola aberrans admiralis,
Cisticola aberrans petrophilus,
Cisticola aberrans emini,
Cisticola bailunduensis,Huambo Cisticola
Cisticola bodessa,Boran Cisticola
Cisticola bodessa kaffensis,
Cisticola bodessa bodessa,
Cisticola chiniana,Rattling Cisticola
Cisticola chiniana simplex,
Cisticola chiniana fricki,
Cisticola chiniana fortis,
Cisticola chiniana humilis,
Cisticola chiniana fischeri,
Cisticola chiniana ukamba,
Cisticola chiniana victoria,
Cisticola chiniana heterophrys,
Cisticola chiniana keithi,
Cisticola chiniana mbeya,
Cisticola chiniana emendatus,
Cisticola chiniana procerus,
Cisticola chiniana frater,
Cisticola chiniana bensoni,
Cisticola chiniana smithersi,
Cisticola chiniana chiniana,
Cisticola chiniana campestris,
Cisticola cinereolus,Ashy Cisticola
Cisticola cinereolus cinereolus,
Cisticola cinereolus schillingsi,
Cisticola ruficeps,Red-pate Cisticola
Cisticola ruficeps ruficeps,
Cisticola ruficeps scotopterus,
Cisticola ruficeps mongalla,
Cisticola guinea,Dorst's Cisticola
Cisticola rufilatus,Tinkling Cisticola
Cisticola rufilatus ansorgei,
Cisticola rufilatus vicinior,
Cisticola rufilatus rufilatus,
Cisticola subruficapilla,Grey-backed Cisticola
Cisticola subruficapilla newtoni,
Cisticola subruficapilla windhoekensis,
Cisticola subruficapilla karasensis,
Cisticola subruficapilla namaqua,
Cisticola subruficapilla subruficapilla,
Cisticola subruficapilla jamesi,
Cisticola distinctus,Lynes's Cisticola
Cisticola lais,Wailing Cisticola
Cisticola lais namba,
Cisticola lais semifasciatus,
Cisticola lais mashona,
Cisticola lais oreobates,
Cisticola lais monticola,
Cisticola lais lais,
Cisticola lais maculatus,
Cisticola restrictus,Tana River Cisticola
Cisticola njombe,Churring Cisticola
Cisticola njombe njombe,
Cisticola njombe mariae,
Cisticola haematocephalus,Coastal Cisticola
Cisticola anderseni,White-tailed Cisticola
Cisticola luapula,Luapula Cisticola
Cisticola pipiens,Chirping Cisticola
Cisticola pipiens congo,
Cisticola pipiens pipiens,
Cisticola pipiens arundicola,
Cisticola lugubris,Ethiopian Cisticola
Cisticola marginatus,Winding Cisticola
Cisticola marginatus amphilectus,
Cisticola marginatus zalingei,
Cisticola marginatus marginatus,
Cisticola marginatus nyansae,
Cisticola marginatus suahelicus,
Cisticola galactotes,Rufous-winged Cisticola
Cisticola galactotes isodactylus,
Cisticola galactotes galactotes,
Cisticola carruthersi,Carruthers's Cisticola
Cisticola tinniens,Levaillant's Cisticola
Cisticola tinniens dyleffi,
Cisticola tinniens oreophilus,
Cisticola tinniens shiwae,
Cisticola tinniens perpullus,
Cisticola tinniens tinniens,
Cisticola tinniens elegans,
Cisticola robustus,Stout Cisticola
Cisticola robustus robustus,
Cisticola robustus schraderi,
Cisticola robustus omo,
Cisticola robustus santae,
Cisticola robustus nuchalis,
Cisticola robustus awemba,
Cisticola robustus angolensis,
Cisticola natalensis,Croaking Cisticola
Cisticola natalensis strangei,
Cisticola natalensis inexpectatus,
Cisticola natalensis argenteus,
Cisticola natalensis tonga,
Cisticola natalensis katanga,
Cisticola natalensis huambo,
Cisticola natalensis natalensis,
Cisticola natalensis holubii,
Cisticola fulvicapilla,Neddicky
Cisticola fulvicapilla dispar,
Cisticola fulvicapilla muelleri,
Cisticola fulvicapilla hallae,
Cisticola fulvicapilla dexter,
Cisticola fulvicapilla ruficapilla,
Cisticola fulvicapilla lebombo,
Cisticola fulvicapilla fulvicapilla,
Cisticola fulvicapilla dumicola,
Cisticola fulvicapilla silberbauer,
Cisticola aberdare,Aberdare Cisticola
Cisticola angusticauda,Long-tailed Cisticola
Cisticola melanurus,Black-tailed Cisticola
Cisticola brachypterus,Short-winged Cisticola
Cisticola brachypterus brachypterus,
Cisticola brachypterus hypoxanthus,
Cisticola brachypterus zedlitzi,
Cisticola brachypterus reichenowi,
Cisticola brachypterus ankole,
Cisticola brachypterus kericho,
Cisticola brachypterus katonae,
Cisticola brachypterus loanda,
Cisticola brachypterus isabellinus,
Cisticola rufus,Rufous Cisticola
Cisticola troglodytes,Foxy Cisticola
Cisticola troglodytes troglodytes,
Cisticola troglodytes ferrugineus,
Cisticola nana,Tiny Cisticola
Cisticola juncidis,Zitting Cisticola
Cisticola juncidis cisticola,
Cisticola juncidis juncidis,
Cisticola juncidis uropygialis,
Cisticola juncidis terrestris,
Cisticola juncidis neuroticus,
Cisticola juncidis cursitans,
Cisticola juncidis salimalii,
Cisticola juncidis omalurus,
Cisticola juncidis brunniceps,
Cisticola juncidis tinnabulans,
Cisticola juncidis nigrostriatus,
Cisticola juncidis malaya,
Cisticola juncidis fuscicapilla,
Cisticola juncidis constans,
Cisticola juncidis leanyeri,
Cisticola juncidis normani,
Cisticola juncidis laveryi,
Cisticola haesitatus,Socotra Cisticola
Cisticola cherina,Madagascar Cisticola
Cisticola aridulus,Desert Cisticola
Cisticola aridulus aridulus,
Cisticola aridulus lavendulae,
Cisticola aridulus tanganyika,
Cisticola aridulus lobito,
Cisticola aridulus perplexus,
Cisticola aridulus kalahari,
Cisticola aridulus traylori,
Cisticola aridulus caliginus,
Cisticola aridulus eremicus,
Cisticola textrix,Cloud Cisticola
Cisticola textrix bulubulu,
Cisticola textrix anselli,
Cisticola textrix major,
Cisticola textrix marleyi,
Cisticola textrix textrix,
Cisticola eximius,Black-backed Cisticola
Cisticola eximius occidens,
Cisticola eximius winneba,
Cisticola eximius eximius,
Cisticola dambo,Dambo Cisticola
Cisticola dambo kasai,
Cisticola dambo dambo,
Cisticola brunnescens,Pectoral-patch Cisticola
Cisticola brunnescens mbangensis,
Cisticola brunnescens lynesi,
Cisticola brunnescens wambera,
Cisticola brunnescens brunnescens,
Cisticola brunnescens nakuruensis,
Cisticola brunnescens hindii,
Cisticola cinnamomeus,Pale-crowned Cisticola
Cisticola cinnamomeus midcongo,
Cisticola cinnamomeus cinnamomeus,
Cisticola cinnamomeus egregius,
Cisticola ayresii,Wing-snapping Cisticola
Cisticola ayresii gabun,
Cisticola ayresii imatong,
Cisticola ayresii entebbe,
Cisticola ayresii itombwensis,
Cisticola ayresii mauensis,
